name,html_url,stargazers_count,forks,description,homepage,language,created_at,updated_at
tribapps-gis,https://github.com/datamade/tribapps-gis,0,0,A repo storing our various GIS files we would like to share.,,Python,2014-12-02T16:00:05Z,2014-12-02T16:00:07Z
lodes-processor,https://github.com/datamade/lodes-processor,0,0,A command line utility for transmogrifying LODES data sets.,,Java,2014-12-13T16:30:07Z,2014-12-13T16:30:58Z
where-we-work-api,https://github.com/datamade/where-we-work-api,2,0,:briefcase: Scripts and API to process and analyze LODES data for where-we-work,http://wherewework.org,Python,2014-12-16T19:28:53Z,2015-09-11T19:04:38Z
ny-budget,https://github.com/datamade/ny-budget,9,3, :bar_chart: an explorable budget vizualization for New York state,https://ny-budget.datamade.us,JavaScript,2014-12-22T17:36:05Z,2016-12-23T17:34:52Z
dedupe-variable-address,https://github.com/datamade/dedupe-variable-address,2,2,Address Variable Type for dedupe,,Python,2014-12-30T04:27:40Z,2016-03-24T15:20:28Z
mobility-app,https://github.com/datamade/mobility-app,0,0,"Digital tool to increase housing mobility to higher-opportunity areas, designed with Connecticut Open Communities Alliance",http://ctoca.org,CSS,2015-01-08T18:22:29Z,2015-01-13T16:04:28Z
dedupe-variable-name,https://github.com/datamade/dedupe-variable-name,1,2,name variable type for dedupe,,Python,2015-01-22T23:19:39Z,2016-03-24T15:23:51Z
cafha-opportunity-map,https://github.com/datamade/cafha-opportunity-map,0,1,map of opportunity index by census tract for the Chicago Area Fair Housing Alliance,,JavaScript,2015-01-26T20:33:42Z,2016-01-14T16:39:31Z
macoupin-directory,https://github.com/datamade/macoupin-directory,0,2,"a service directory for Macoupin County, Illinois",,CSS,2015-02-02T20:58:38Z,2016-02-04T02:14:02Z
flask_app_template,https://github.com/datamade/flask_app_template,1,1,Generic Flask app template with basic database setup and user login,,Python,2015-02-09T16:32:18Z,2015-02-09T17:39:43Z
liblevenshtein,https://github.com/datamade/liblevenshtein,0,0,Various utilities regarding Levenshtein transducers.,http://dylon.github.com/liblevenshtein,,2015-02-10T16:58:46Z,2015-02-10T16:58:46Z
canonicalize,https://github.com/datamade/canonicalize,0,1,Canoicalize a Cluster of Records,,Python,2015-02-12T22:12:38Z,2015-02-12T22:56:05Z
million-dollar-blocks,https://github.com/datamade/million-dollar-blocks,26,5, :moneybag: An interactive visualization of incarceration spending in Chicago,http://chicagosmilliondollarblocks.com,JavaScript,2015-02-20T22:13:19Z,2016-12-23T18:25:04Z
flask-track-usage,https://github.com/datamade/flask-track-usage,0,0,Basic metrics tracking for the Flask framework.,,Python,2015-03-11T19:56:24Z,2015-03-11T19:56:25Z
snowbook,https://github.com/datamade/snowbook,0,0,chicago snowbook,,,2015-03-12T15:35:19Z,2015-03-12T15:58:39Z
whats-in-a-name,https://github.com/datamade/whats-in-a-name,0,0,Socio demographics from names,,,2015-03-14T13:46:47Z,2015-03-14T13:46:47Z
parseratorvariable,https://github.com/datamade/parseratorvariable,1,0,Base class for dedupe variables for parsed fields,,Python,2015-03-25T20:12:18Z,2016-07-03T08:08:46Z
python-metar,https://github.com/datamade/python-metar,0,0,a python package that parses coded METAR weather reports.,https://sourceforge.net/projects/python-metar/,Python,2015-04-02T14:09:39Z,2015-04-02T14:35:40Z
dashboard,https://github.com/datamade/dashboard,0,0,Dashboard for The OpenElections Project.,,Python,2015-04-13T17:25:04Z,2015-04-13T17:28:27Z
data-making-guidelines,https://github.com/datamade/data-making-guidelines,56,6,":blue_book: Making Data, the DataMade Way",,HTML,2015-04-13T20:46:34Z,2016-11-30T06:47:52Z
simplecosine,https://github.com/datamade/simplecosine,0,1,simple cosine distance,,Python,2015-04-15T14:08:41Z,2016-02-13T14:17:28Z
sqldedupe,https://github.com/datamade/sqldedupe,0,0,SQLAlchemy + Dedupe,,,2015-04-15T19:03:11Z,2015-04-15T19:03:11Z
codedeploy-test,https://github.com/datamade/codedeploy-test,0,0,Just testing this code deploy stuff,,Shell,2015-04-20T20:26:23Z,2015-04-21T21:16:42Z
highered,https://github.com/datamade/highered,2,1,CRF Edit Distance,,Python,2015-04-29T13:55:05Z,2016-05-08T21:49:47Z
eitc-map-staging,https://github.com/datamade/eitc-map-staging,0,0,staging site for EITC Works!,,JavaScript,2015-05-01T19:11:33Z,2015-05-08T04:53:39Z
yournextmp-popit,https://github.com/datamade/yournextmp-popit,0,0,:ballot_box_with_check: An experimental front-end to PopIt for 2015 GE candidates,http://yournextmp.mysociety.org,Python,2015-05-01T21:37:52Z,2016-01-14T15:14:30Z
pyhacrf,https://github.com/datamade/pyhacrf,2,2,Hidden alignment conditional random field for classifying string pairs.,,Python,2015-05-04T19:50:42Z,2016-04-18T19:05:54Z
ihs-price-index,https://github.com/datamade/ihs-price-index,2,0,Price Index Visualization for The DePaul Institute for Housing Studies,,JavaScript,2015-05-05T14:12:04Z,2016-09-12T12:43:33Z
databot,https://github.com/datamade/databot,0,0,:crystal_ball: Slackbot for datamade,,Python,2015-05-08T13:42:26Z,2015-10-21T22:12:44Z
chicago-openelex,https://github.com/datamade/chicago-openelex,2,1,Chicago Open Election Scraper,,Python,2015-05-18T21:41:53Z,2016-11-07T23:03:13Z
chi-councilmatic,https://github.com/datamade/chi-councilmatic,4,11,:eyes: keep tabs on Chicago city council,https://chicago.councilmatic.org/,Python,2015-05-19T20:09:47Z,2016-12-05T21:21:08Z
docs.opencivicdata.org,https://github.com/datamade/docs.opencivicdata.org,0,1,:pencil: Open Civic Data project documentation,http://opencivicdata.readthedocs.org,Python,2015-05-21T21:20:06Z,2015-10-21T22:28:07Z
edifice,https://github.com/datamade/edifice,0,1,,,Makefile,2015-05-26T15:50:31Z,2015-05-26T23:16:08Z
python-legistar-scraper,https://github.com/datamade/python-legistar-scraper,0,0,Scrapes municipal data from Legistar websites,,Python,2015-06-15T17:09:46Z,2015-06-15T17:09:46Z
elpc_bakken,https://github.com/datamade/elpc_bakken,1,0,Bakken well files PDF extraction,,HTML,2015-06-24T15:50:48Z,2015-08-11T18:10:05Z
nyc-councilmatic,https://github.com/datamade/nyc-councilmatic,24,7,:statue_of_liberty: a web app for keeping tabs on city council activity in New York City,https://nyc.councilmatic.org,Python,2015-06-24T15:57:01Z,2016-12-23T17:10:24Z
million-dollar-blocks-analysis,https://github.com/datamade/million-dollar-blocks-analysis,1,0,public repo with analysis for the Chicago million dollar blocks project,,Python,2015-07-15T03:32:10Z,2016-04-18T19:21:47Z
dedupe-geocoder,https://github.com/datamade/dedupe-geocoder,6,4, :round_pushpin: Demonstration of how dedupe might be used as geocoder,,Python,2015-08-11T21:44:56Z,2016-12-06T17:01:20Z
site-launch-checklist,https://github.com/datamade/site-launch-checklist,41,12,:ballot_box_with_check: A checklist of miscellaneous tasks to do before launching a public website.,,,2015-08-12T15:16:14Z,2016-12-13T18:50:02Z
