name,html_url,stargazers_count,forks,description,homepage,language,created_at,updated_at
where-the-work-is,https://github.com/datamade/where-the-work-is,0,0,:briefcase: visualizing middle-skilled occupations in the uk,http://wheretheworkis.org/,JavaScript,2016-04-18T16:38:51Z,2016-09-08T14:48:08Z
oversight,https://github.com/datamade/oversight,1,0,knitting together Chicago Justice Data,,,2016-04-18T18:43:37Z,2016-08-12T19:29:17Z
google-analytics-lib,https://github.com/datamade/google-analytics-lib,0,1,"Simple javascript file for adding Google Analytics to a site. Includes download, external link and email event tracking.",,JavaScript,2016-04-19T16:30:12Z,2016-04-19T16:30:13Z
dedupe-variable-person,https://github.com/datamade/dedupe-variable-person,3,1,Dedupe variable for person names. just people. no companies.,,Python,2016-04-20T14:54:43Z,2016-10-06T10:06:10Z
jail,https://github.com/datamade/jail,0,0,Cook County Jail Scraper,,Python,2016-04-25T14:18:26Z,2016-04-25T14:19:33Z
voterfile,https://github.com/datamade/voterfile,0,0,Experiments with Voter Files,,,2016-05-02T20:54:59Z,2016-05-02T20:54:59Z
fastcluster,https://github.com/datamade/fastcluster,0,0,See here: https://pypi.python.org/pypi/fastcluster,,C++,2016-05-03T22:48:29Z,2016-05-03T22:48:30Z
scrapelib,https://github.com/datamade/scrapelib,2,0,a library for scraping things,http://scrapelib.readthedocs.org/en/latest/,Python,2016-05-11T15:23:20Z,2016-10-23T15:53:48Z
illinois-sunshine,https://github.com/datamade/illinois-sunshine,2,0,:sunny: Illinois Sunshine. Keep an eye on money in Illinois politics.,http://illinoissunshine.org/,HTML,2016-05-13T18:49:56Z,2016-08-17T14:43:51Z
sra,https://github.com/datamade/sra,0,0,Mirror of Security Risk Assessment Tool from HHS,,HTML,2016-05-17T17:26:52Z,2016-05-17T17:31:23Z
my-reps,https://github.com/datamade/my-reps,11,7,:busts_in_silhouette: Enter your address to find your elected representatives. Powered by the Google Civic Information API,http://myreps.datamade.us,JavaScript,2016-06-24T17:52:32Z,2016-12-19T19:19:22Z
openness-project-nmid,https://github.com/datamade/openness-project-nmid,0,0,The Openness Project - New Mexico In Depth Campaign Finance Explorer,,Python,2016-07-05T18:32:09Z,2016-11-04T17:11:10Z
probation-resources-map,https://github.com/datamade/probation-resources-map,2,0,"Interactive, searchable map that helps people on probation find social, health, and cultural resources throughout Chicago",,JavaScript,2016-07-18T15:58:00Z,2016-12-01T16:26:45Z
illinois-criminal-justice,https://github.com/datamade/illinois-criminal-justice,2,0,Data extractions tools from Illinois State Reports on the Criminal Justice System,,Makefile,2016-07-19T16:40:54Z,2016-07-19T20:03:07Z
chicagojusticeproject,https://github.com/datamade/chicagojusticeproject,0,0,Copy of chicagojusticeproject.org,,,2016-08-01T22:11:41Z,2016-08-01T22:11:41Z
jekyll-html-hook,https://github.com/datamade/jekyll-html-hook,2,0,:anchor: Webhook listener for deploying Jekyll or static HTML sites,,Python,2016-08-04T15:11:29Z,2016-10-05T02:30:43Z
pyesridump,https://github.com/datamade/pyesridump,0,0,Scrapes an ESRI MapServer REST endpoint to spit out more generally-usable geodata.,,Python,2016-08-21T14:11:24Z,2016-08-21T14:11:25Z
